id,speakers,previous,tokens,tags
154,UAV,ich hab dir ein Bild von der Wärmebild-Kamera geschickt,unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank,2
155,UAV,unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank,guckst du mal?,2
156,TL,guckst du mal?,ja mache ich,7
157,UGV-2,ja mache ich,Einsatzleiter von UGV 2 kommen,4
158,TL,Einsatzleiter von UGV 2 kommen,ich höre,5
159,UGV-2,ich höre,ja ich habe nochmal ein Foto gezeigt,2
160,UGV-2,ja ich habe nochmal ein Foto gezeigt,UGV 1 ist gerade an uns vorbei gefahren,2
161,UGV-2,UGV 1 ist gerade an uns vorbei gefahren,sollen wir versuchen uns anzuschließen?,3
162,UGV-2,sollen wir versuchen uns anzuschließen?,abz- anzuschließen,6
163,TL,abz- anzuschließen,ja macht ihr mal,7
164,UAV,ja macht ihr mal,Einsatzleiter von UAV,4
165,TL,Einsatzleiter von UAV,höre,5
166,UAV,höre,wir müssen gleich nochmal den Akku tauschen,2
167,UAV,wir müssen gleich nochmal den Akku tauschen,hast du danach noch einen Auftrag für uns?,3
168,TL,hast du danach noch einen Auftrag für uns?,ja landet erst mal ihr kriegt einen neuen Auftrag,7
169,UAV,ja landet erst mal ihr kriegt einen neuen Auftrag,ja ist verstanden,2
170,TL,ja ist verstanden,UGV 2 von Einsatzleiter,4
171,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
172,TL,UGV 2 hört,du sprachst eben von einer anderen Ebene habt ihr die schon erreicht?,3
173,UGV-2,du sprachst eben von einer anderen Ebene habt ihr die schon erreicht?,wir haben aktuell immer noch Probleme mit der Steuerung,0
174,UGV-1,wir haben aktuell immer noch Probleme mit der Steuerung,UGV 1 erreicht gerade die erste Ebene,7
175,TL,UGV 1 erreicht gerade die erste Ebene,das ist verstanden,2
176,TL,das ist verstanden,schickst du mir dann auch von da mal ein Foto?,1
177,UGV-1,schickst du mir dann auch von da mal ein Foto?,ja das ist verstanden,7
178,UAV,ja das ist verstanden,Einsatzleiter von UAV,4
179,TL,Einsatzleiter von UAV,ich höre,5
180,UAV,ich höre,wir wären wieder startklar wenn du was neues für uns hast?,2
181,TL,wir wären wieder startklar wenn du was neues für uns hast?,ja ich melde mich gleich bei euch,2
182,UGV-1,ja ich melde mich gleich bei euch,Einsatzleiter von UGV 1,4
183,TL,Einsatzleiter von UGV 1,ich höre,5
184,UGV-1,ich höre,Foto ist erstellt und geteilt,2
185,UGV-1,Foto ist erstellt und geteilt,man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost,2
186,TL,man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost,könnt ihr mir Näheres zu dem Behälter geben?,3
187,UGV-1,könnt ihr mir Näheres zu dem Behälter geben?,ich fahr mal näher ran und erkunde,2
188,TL,ich fahr mal näher ran und erkunde,ja verstanden,2
189,TL,ja verstanden,UGV 1 von Einsatzleiter,4
190,UGV-1,UGV 1 von Einsatzleiter,UGV 1 hört,5
191,TL,UGV 1 hört,das Bild mit dem Behälter war in östlicher Richtung war's korrekt?,3
192,UGV-1,das Bild mit dem Behälter war in östlicher Richtung war's korrekt?,das ist korrekt,7
193,UGV-1,das ist korrekt,ich schicke dir auch gleich nochmal ein Bild mit der Thermal-Kamera,2
194,TL,ich schicke dir auch gleich nochmal ein Bild mit der Thermal-Kamera,ja verstanden,7
195,UAV,ja verstanden,Einsatzleiter von UAV,4
196,TL,Einsatzleiter von UAV,ich höre,5
197,UAV,ich höre,ja wir haben uns gerade die Bilder noch einmal angeguckt,2
198,UAV,ja wir haben uns gerade die Bilder noch einmal angeguckt,da könnte nochmal was sein,2
199,UAV,da könnte nochmal was sein,wir steigen nochmal auf und gucken uns das nochmal an,2
200,TL,wir steigen nochmal auf und gucken uns das nochmal an,ja insbesondere was die Wärmeentwicklung geht anbetrifft,1
201,TL,ja insbesondere was die Wärmeentwicklung geht anbetrifft,da konnte man nicht viel erkennen,2
202,UAV,da konnte man nicht viel erkennen,ja ich versuch dir nochmal ein besseres Bild zu liefern,7
203,TL,ja ich versuch dir nochmal ein besseres Bild zu liefern,ja verstanden,2
204,UGV-1,ja verstanden,Einsatzleiter von UGV 1,4
205,TL,Einsatzleiter von UGV 1,höre,5
206,UGV-1,höre,schicke dir nochmal ein Bild,2
207,UGV-1,schicke dir nochmal ein Bild,wir haben hier einen Gefahrenzettel auf dem Behälter,2
208,TL,wir haben hier einen Gefahrenzettel auf dem Behälter,ja verstanden,2
209,UGV-2,ja verstanden,Einsatzleiter von UGV 2,4
210,TL,Einsatzleiter von UGV 2,ich höre,5
211,UGV-2,ich höre,ja wir haben mittlerweile die Kontrolle gewonnen und sind jetzt auch bei UGV 1,2
212,UGV-2,ja wir haben mittlerweile die Kontrolle gewonnen und sind jetzt auch bei UGV 1,ich hab auch nochmal ein Bild geschickt,2
213,TL,ich hab auch nochmal ein Bild geschickt,UGV 1 von Einsatzleiter,4
214,TL,UGV 1 von Einsatzleiter,UGV 1 von Einsatzleiter,4
215,UGV-1,UGV 1 von Einsatzleiter,UGV 1 hört,5
216,TL,UGV 1 hört,Frage: könnt ihr den Behälter mal von einer anderen Seite anfahren und erkunden ob er noch verschlossen ist oder ob da irgendwas austritt?,1
217,UGV-1,Frage: könnt ihr den Behälter mal von einer anderen Seite anfahren und erkunden ob er noch verschlossen ist oder ob da irgendwas austritt?,ja positiv wird gemacht,7
218,UAV,ja positiv wird gemacht,Einsatzleiter von UAV,4
219,TL,Einsatzleiter von UAV,ich höre,5
220,UAV,ich höre,wir haben auf der Rückseite - also aus nördlicher Sicht an der Rauchentwicklung ein Objekt festgestellt wir können keine Gefahrstoff-Kennzeichnung erkennen,2
221,UAV,wir haben auf der Rückseite - also aus nördlicher Sicht an der Rauchentwicklung ein Objekt festgestellt wir können keine Gefahrstoff-Kennzeichnung erkennen,ich hab dir jetzt zwei Bilder geschickt eine Detailaufnahme,2
222,TL,ich hab dir jetzt zwei Bilder geschickt eine Detailaufnahme,ja,2
223,TL,ja,ich schau mal rein,2
224,UGV-1,ich schau mal rein,Einsatzleiter von UGV 1,4
225,TL,Einsatzleiter von UGV 1,ich höre,5
226,UGV-1,ich höre,der Behälter scheint leer zu sein ich hab dir ein Bild geschickt,2
227,UAV,der Behälter scheint leer zu sein ich hab dir ein Bild geschickt,Einsatzleiter von UAV,4
228,TL,Einsatzleiter von UAV,ja ich höre,5
229,UAV,ja ich höre,ich hab dir - oder ich schick dir gleich nochmal ein Bild rüber du siehst auf der Rückseite definitiv zwei Orte wo sich noch Glutnester befinden,2
230,TL,ich hab dir - oder ich schick dir gleich nochmal ein Bild rüber du siehst auf der Rückseite definitiv zwei Orte wo sich noch Glutnester befinden,ja verstanden,7
231,UAV,ja verstanden,der eine Ort das sind zwei kleine Stellen das ist unter dem Fass was ich gerade schon mal geschickt habe und rechts davon siehst du auch da im Bild sehr deutlich 'ne Wärmesignatur die etwas größer ist,2
232,TL,der eine Ort das sind zwei kleine Stellen das ist unter dem Fass was ich gerade schon mal geschickt habe und rechts davon siehst du auch da im Bild sehr deutlich 'ne Wärmesignatur die etwas größer ist,ja verstanden,2
233,UGV-1,ja verstanden,Einsatzleiter von UGV 1,4
234,TL,Einsatzleiter von UGV 1,ich höre,5
235,UGV-1,ich höre,reichen dir die Bilder?,3
236,UGV-1,reichen dir die Bilder?,dann würde ich die Erkundung auf dieser Ebene weiter fortsetzen,2
237,TL,dann würde ich die Erkundung auf dieser Ebene weiter fortsetzen,ja reicht mir erst mal aus,7
238,TL,ja reicht mir erst mal aus,setz die Erkundung fort,7
239,UGV-2,setz die Erkundung fort,Einsatzleiter von UGV 2 kommen,4
240,TL,Einsatzleiter von UGV 2 kommen,ich höre,5
241,UGV-2,ich höre,ja kriegen wir auch noch einen Auftrag?,3
242,TL,ja kriegen wir auch noch einen Auftrag?,ja,7
243,TL,ja,ich komme sofort wieder,6
244,TL,ich komme sofort wieder,UGV 2 von Einsatzleiter,4
245,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
246,TL,UGV 2 hört,seht ihr die drei Hochbehälter?,3
247,UGV-2,seht ihr die drei Hochbehälter?,negativ,0
248,UGV-2,negativ,aber ich sehe gerade Rauchentwicklung von hier aus,2
249,UGV-2,aber ich sehe gerade Rauchentwicklung von hier aus,soll ich mal ein Foto machen?,2
250,UGV-1,soll ich mal ein Foto machen?,Einsatzleiter von UGV 1,4
251,TL,Einsatzleiter von UGV 1,ich höre,5
252,UGV-1,ich höre,ich habe jetzt hinter dem ersten Hochofen in östlicher Richtung einen weiteren Behälter gefunden,2
253,TL,ich habe jetzt hinter dem ersten Hochofen in östlicher Richtung einen weiteren Behälter gefunden,ja schickst du mir nochmal ein Bild?,1
254,UGV-1,ja schickst du mir nochmal ein Bild?,ja ist verstanden,7
255,UGV-1,ja ist verstanden,wir haben auch jetzt hier erhöhte Rauchentwicklung,2
256,TL,wir haben auch jetzt hier erhöhte Rauchentwicklung,ja verstanden,2
257,UAV,ja verstanden,Einsatzleiter von UAV,4
258,TL,Einsatzleiter von UAV,ich höre,5
259,UAV,ich höre,ich hab dir doch noch ein Bild geschickt in Infrarot,2
260,UAV,ich hab dir doch noch ein Bild geschickt in Infrarot,und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes,2
261,UAV,und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes,- an der - an dem Tank,6
262,TL,- an der - an dem Tank,ja verstanden,2
263,TL,ja verstanden,UGV 2 von Einsatzleiter,4
264,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
265,TL,UGV 2 hört,Frage: wo ist jetzt euer Standort?,3
266,UGV-2,Frage: wo ist jetzt euer Standort?,wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde,2
267,TL,wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde,dann bewegt ihr euch einmal in östlicher Richtung?,3
268,UGV-2,dann bewegt ihr euch einmal in östlicher Richtung?,dafür müsstest du mal sagen wo wir ungefähr sind,3
269,UGV-2,dafür müsstest du mal sagen wo wir ungefähr sind,weil das können wir selber klar nicht feststellen,2
270,UGV-1,weil das können wir selber klar nicht feststellen,Einsatzleiter von UGV 1,4
271,TL,Einsatzleiter von UGV 1,ich höre,5
272,UGV-1,ich höre,ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren,2
273,UGV-1,ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren,scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen,2
274,UGV-1,scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen,Si- andere Signaturen,6
275,TL,Si- andere Signaturen,ja verstanden,2
276,TL,ja verstanden,UGV 2 von Einsatzleiter,4
277,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
278,TL,UGV 2 hört,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,1
279,UGV-2,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,ja,7
280,UGV-2,ja,Einsatzleiter von UGV 2,4
281,TL,Einsatzleiter von UGV 2,ja,5
282,UGV-2,ja,ja Foto ist geteilt,2
283,UGV-1,ja Foto ist geteilt,Einsatzleiter von UGV 1,4
284,TL,Einsatzleiter von UGV 1,ja ich höre,5
285,UGV-1,ja ich höre,ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt,2
286,UGV-1,ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt,scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich,2
287,UGV-1,scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich,ich bin drauf ich versuch das mal zu rollen,2
288,TL,ich bin drauf ich versuch das mal zu rollen,ja verstanden,2
289,TL,ja verstanden,UGV 2 von Einsatzleiter,4
290,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
291,TL,UGV 2 hört,Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig?,3
292,UGV-2,Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig?,ja das ist korrekt,7
293,TL,ja das ist korrekt,UGV 2 von Einsatzleiter,4
294,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
295,TL,UGV 2 hört,dann müsst ihr euch von da aus in östlicher Richtung bewegen,1
296,UGV-2,dann müsst ihr euch von da aus in östlicher Richtung bewegen,ja,7
297,UGV-2,ja,wie ist da meine Blickrichtung auf dem Bild?,3
298,TL,wie ist da meine Blickrichtung auf dem Bild?,schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken,2
299,UGV-2,schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken,ja verstanden,2
300,UAV,ja verstanden,Einsatzführer von UAV,4
301,TL,Einsatzführer von UAV,ja ich höre,5
302,UAV,ja ich höre,ich müsste erneut zurück wegen Akku Tausch,2
303,UAV,ich müsste erneut zurück wegen Akku Tausch,möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen,2
304,TL,möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,1
305,UAV,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,so machen wir das,7
306,UGV-1,so machen wir das,Einsatzleiter von UGV 1,4
307,TL,Einsatzleiter von UGV 1,ich höre,5
308,UGV-1,ich höre,ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel,2
309,UGV-1,ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel,schau dir das bitte mal an beide Bilder sind geteilt,2
310,TL,schau dir das bitte mal an beide Bilder sind geteilt,ja verstanden,7
311,UGV-1,ja verstanden,ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen,2
