id,speakers,isoda,tokens,tags
36,TL,Kontakt Bestätigung,ich höre,5
37,UAV,Information geben,ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen,2
38,TL,Sonstiges,das ist verstanden,2
39,TL,Kontakt Anfrage,UAV von Einsatzleiter kommen,4
40,UAV,Kontakt Bestätigung,UAV hört,5
41,TL,Einsatzbefehl,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,1
42,UAV,Einsatzbefehl,ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera,7
43,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1,4
44,TL,Kontakt Bestätigung,ich höre,5
45,UGV-1,Information geben,ich hab dir ein'n Schnappschuss erstellt,2
46,UGV-1,Information nachfragen,kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen?,3
47,UGV-1,Information geben,das wäre jetzt der Blick in den westlichen Teil der Halle,2
48,TL,Kontakt Anfrage,UGV 1 von Einsatzleiter kommen,4
49,UGV-1,Kontakt Bestätigung,UGV 1 hört,5
50,TL,Einsatzbefehl,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,1
51,UGV-1,Sonstiges,weitererkunden in westlicher Richtung verstanden,7
52,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
53,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
54,TL,Information nachfragen,wo ist dein Standort im Moment?,3
55,UGV-2,Information geben,wir befinden uns auf einer Rampe,2
56,UGV-2,Information geben,ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg,2
57,TL,Sonstiges,ja,7
58,TL,Kontakt Anfrage,UAV von Einsatzleiter,4
59,UAV,Kontakt Bestätigung,hier ist die UAV,5
60,UAV,Information geben,wir haben zur Zeit technische Probleme,2
61,UAV,Information geben,und können noch keine neuen Bilder senden,2
62,TL,Sonstiges,ja verstanden,2
63,TL,Kontakt Anfrage,UGV 1 von Einsatzleiter,4
64,UGV-1,Kontakt Bestätigung,UGV 1 hört,5
65,TL,Information nachfragen,habt ihr schon neue Erkenntnisse?,3
66,UGV-1,Absage,bisher negativ,0
67,TL,Information nachfragen,ihr bewegt euch weiter in westlicher Richtung?,3
68,UGV-1,Zusage,das ist korrekt,7
69,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
70,UGV-2,Kontakt Bestätigung,ja ich UGV 2,5
71,UGV-2,Information geben,ich komme gleich mit 'nem neuen Bild,2
72,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
73,TL,Kontakt Bestätigung,ich höre,5
74,UAV,Information geben,also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen,2
75,UAV,Information geben,wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an,2
76,UAV,Kontakt Bestätigung,au- aus,6
77,TL,Sonstiges,ja verstanden,2
78,UGV-1,Kontakt Anfrage,ja Einsatzleiter von UGV 1 kommen,4
79,TL,Kontakt Bestätigung,ich höre,5
80,UGV-1,Information geben,ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist,2
81,UGV-1,Information geben,wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden,2
82,TL,Zusage,ja fahr mal rein,7
83,UGV-1,Sonstiges,ja verstanden,2
84,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
85,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
86,TL,Information nachfragen,fahrt ihr runter oder fahrt ihr auch über diese Rampe?,3
87,UGV-2,Information geben,also aktuell stehe ich noch an dem flachen Bereich der Rampe,2
88,TL,Einsatzbefehl,kannst du mir ein Bild schicken?,1
89,UGV-2,Zusage,ja kommt sofort,7
90,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1 kommen,4
91,TL,Kontakt Bestätigung,ich höre,5
92,UGV-1,Information geben,habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse,2
93,UGV-1,Information geben,ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren,2
94,TL,Zusage,ja dann fahrt mal hoch und erkundet da weiter,7
95,UGV-1,Sonstiges,ja ist verstanden,2
96,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
97,UAV,Kontakt Anfrage,U- UAV,6
98,TL,Kontakt Bestätigung,ich höre,5
99,UAV,Information geben,also ich kann auch hier keine Glutnester erkennen,2
100,TL,Sonstiges,ja verstanden,2
101,TL,Information_nachfragen,ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja?,3
102,UAV,Zusage,ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja,7
103,TL,Information geben,Rauchentwicklung ist von dort aus auch nicht zu sehen?,3
104,UAV,Kontakt Bestätigung,ja,7
105,UAV,Information geben,ich guck mal gleich wieder,2
106,UGV-2,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
107,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
108,TL,Information_nachfragen,du hattest mir gerade das Bild geschickt ja?,3
109,UGV-2,Kontakt Bestätigung,ja,7
110,UGV-2,Information geben,ist schon etwas länger her,2
111,UGV-2,Information geben,wir haben massive Probleme mit der Steuerung,2
112,UGV-2,Zusage,ja da haben wir es gerade ein bisschen schwierig,2
113,UGV-2,Information geben,ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe,2
114,TL,Sonstiges,ja verstanden,2
115,UGV-2,Kontakt Anfrage,Einsatzleiter von UGV 2 kommen,4
116,TL,Kontakt Bestätigung,ich höre,5
117,UGV-2,Information geben,das Bild ist geteilt,2
118,TL,Zusage,ja ist bei mir angekommen,2
119,UGV-2,Information nachfragen,Frage: sollen wir da jetzt reinfahren?,3
120,TL,Sonstiges,warte ich muss eben erst gucken,6
121,TL,Zusage,ja fahrt da mal rein,7
122,UGV-2,Sonstiges,ja verstanden,2
123,UGV-2,Information geben,das müsste irgendwo im westlichen Bereich sein,2
124,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
125,TL,Kontakt Bestätigung,ich höre,5
126,UAV,Information geben,ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt,2
127,UAV,Information geben,ich kann keine Rauchentwicklung erkennen,2
128,TL,Sonstiges,ja verstanden,2
129,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
130,TL,Kontakt Bestätigung,ich höre,5
131,UAV,Information geben,also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes,2
132,UAV,Information geben,ich schicke dir ein Bild,2
133,UGV-1,Kontakt Anfrage,Einsatzleiter von UAV 1,4
134,TL,Kontakt Bestätigung,höre,5
135,UGV-1,Sonstiges,ich korrigiere - UGV 1,6
136,TL,Kontakt Bestätigung,ja kommen Sie,5
137,UGV-1,Information geben,ja ich stehe jetzt am Fuß der Rampe,2
138,UGV-1,Information geben,hab dir ein Bild geschickt,2
139,UGV-1,Einsatzbefehl,kannst du mal was gucken ob da was Interessantes ist,2
140,TL,Zusage,ja danke,7
141,UGV-1,Information geben,zur Info das ist der Blick in östlicher Richtung,2
142,TL,Kontakt Anfrage,UAV von Einsatzleiter,4
143,UAV,Kontakt Bestätigung,ich hör' dich,5
144,TL,Information geben,wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus,2
145,TL,Information nachfragen,könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,1
146,UAV,Information geben,ja wir schalten gerade um ich komme gleich wieder mit neuen Infos,7
147,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
148,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
149,TL,Einsatzbefehl,schickst du mir noch mal ein aktuelles Foto euren Standortes?,1
150,UGV-2,Zusage,ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt,7
151,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
152,TL,Kontakt Bestätigung,ich höre,5
153,UAV,Information geben,ich hab dir ein Bild von der Wärmebild-Kamera geschickt,2
154,UAV,Information geben,unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank,2
155,UAV,Information nachfragen,guckst du mal?,2
156,TL,Zusage,ja mache ich,7
157,UGV-2,Kontakt Anfrage,Einsatzleiter von UGV 2 kommen,4
158,TL,Kontakt Bestätigung,ich höre,5
159,UGV-2,Information geben,ja ich habe nochmal ein Foto gezeigt,2
160,UGV-2,Information geben,UGV 1 ist gerade an uns vorbei gefahren,2
161,UGV-2,Zusage,sollen wir versuchen uns anzuschließen?,3
162,UGV-2,Zusage,abz- anzuschließen,6
163,TL,Zusage,ja macht ihr mal,7
164,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
165,TL,Kontakt Bestätigung,höre,5
166,UAV,Einsatzbefehl,wir müssen gleich nochmal den Akku tauschen,2
167,UAV,Information nachfragen,hast du danach noch einen Auftrag für uns?,3
168,TL,Sonstiges,ja landet erst mal ihr kriegt einen neuen Auftrag,7
169,UAV,Sonstiges,ja ist verstanden,2
170,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
171,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
172,TL,Information nachfragen,du sprachst eben von einer anderen Ebene habt ihr die schon erreicht?,3
173,UGV-2,Information geben,wir haben aktuell immer noch Probleme mit der Steuerung,0
174,UGV-1,Information geben,UGV 1 erreicht gerade die erste Ebene,7
175,TL,Sonstiges,das ist verstanden,2
176,TL,Einsatzbefehl,schickst du mir dann auch von da mal ein Foto?,1
177,UGV-1,Sonstiges,ja das ist verstanden,7
178,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
179,TL,Kontakt Bestätigung,ich höre,5
180,UAV,Information geben,wir wären wieder startklar wenn du was neues für uns hast?,2
181,TL,Zusage,ja ich melde mich gleich bei euch,2
182,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1,4
183,TL,Kontakt Bestätigung,ich höre,5
184,UGV-1,Information geben,Foto ist erstellt und geteilt,2
185,UGV-1,Information geben,man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost,2
186,TL,Einsatzbefehl,könnt ihr mir Näheres zu dem Behälter geben?,3
187,UGV-1,Information geben,ich fahr mal näher ran und erkunde,2
188,TL,Sonstiges,ja verstanden,2
189,TL,Kontakt Anfrage,UGV 1 von Einsatzleiter,4
190,UGV-1,Kontakt Bestätigung,UGV 1 hört,5
191,TL,Information_nachfragen,das Bild mit dem Behälter war in östlicher Richtung war's korrekt?,3
192,UGV-1,Zusage,das ist korrekt,7
193,UGV-1,Information geben,ich schicke dir auch gleich nochmal ein Bild mit der Thermal-Kamera,2
194,TL,Sonstiges,ja verstanden,7
195,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
196,TL,Kontakt Bestätigung,ich höre,5
197,UAV,Information geben,ja wir haben uns gerade die Bilder noch einmal angeguckt,2
198,UAV,Zusage,da könnte nochmal was sein,2
199,UAV,Information geben,wir steigen nochmal auf und gucken uns das nochmal an,2
200,TL,Zusage,ja insbesondere was die Wärmeentwicklung geht anbetrifft,1
201,TL,Information geben,da konnte man nicht viel erkennen,2
202,UAV,Zusage,ja ich versuch dir nochmal ein besseres Bild zu liefern,7
203,TL,Sonstiges,ja verstanden,2
204,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1,4
205,TL,Kontakt Bestätigung,höre,5
206,UGV-1,Einsatzbefehl,schicke dir nochmal ein Bild,2
207,UGV-1,Information geben,wir haben hier einen Gefahrenzettel auf dem Behälter,2
208,TL,Sonstiges,ja verstanden,2
209,UGV-2,Kontakt Anfrage,Einsatzleiter von UGV 2,4
210,TL,Kontakt Bestätigung,ich höre,5
211,UGV-2,Zusage,ja wir haben mittlerweile die Kontrolle gewonnen und sind jetzt auch bei UGV 1,2
212,UGV-2,Information geben,ich hab auch nochmal ein Bild geschickt,2
213,TL,Kontakt Anfrage,UGV 1 von Einsatzleiter,4
214,TL,Kontakt Anfrage,UGV 1 von Einsatzleiter,4
215,UGV-1,Kontakt Bestätigung,UGV 1 hört,5
216,TL,Einsatzbefehl,Frage: könnt ihr den Behälter mal von einer anderen Seite anfahren und erkunden ob er noch verschlossen ist oder ob da irgendwas austritt?,1
217,UGV-1,Zusage,ja positiv wird gemacht,7
218,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
219,TL,Kontakt Bestätigung,ich höre,5
220,UAV,Information geben,wir haben auf der Rückseite - also aus nördlicher Sicht an der Rauchentwicklung ein Objekt festgestellt wir können keine Gefahrstoff-Kennzeichnung erkennen,2
221,UAV,Information geben,ich hab dir jetzt zwei Bilder geschickt eine Detailaufnahme,2
222,TL,Sonstiges,ja,2
223,TL,Zusage,ich schau mal rein,2
224,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1,4
225,TL,Kontakt Bestätigung,ich höre,5
226,UGV-1,Information geben,der Behälter scheint leer zu sein ich hab dir ein Bild geschickt,2
227,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
228,TL,Kontakt Bestätigung,ja ich höre,5
229,UAV,Information geben,ich hab dir - oder ich schick dir gleich nochmal ein Bild rüber du siehst auf der Rückseite definitiv zwei Orte wo sich noch Glutnester befinden,2
230,TL,Sonstiges,ja verstanden,7
231,UAV,Information geben,der eine Ort das sind zwei kleine Stellen das ist unter dem Fass was ich gerade schon mal geschickt habe und rechts davon siehst du auch da im Bild sehr deutlich 'ne Wärmesignatur die etwas größer ist,2
232,TL,Sonstiges,ja verstanden,2
233,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1,4
234,TL,Kontakt Bestätigung,ich höre,5
235,UGV-1,Information nachfragen,reichen dir die Bilder?,3
236,UGV-1,Information geben,dann würde ich die Erkundung auf dieser Ebene weiter fortsetzen,2
237,TL,Zusage,ja reicht mir erst mal aus,7
238,TL,Zusage,setz die Erkundung fort,7
239,UGV-2,Kontakt Anfrage,Einsatzleiter von UGV 2 kommen,4
240,TL,Kontakt Bestätigung,ich höre,5
241,UGV-2,Information nachfragen,ja kriegen wir auch noch einen Auftrag?,3
242,TL,Sonstiges,ja,7
243,TL,Kontakt Bestätigung,ich komme sofort wieder,6
244,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
245,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
246,TL,Information nachfragen,seht ihr die drei Hochbehälter?,3
247,UGV-2,Absage,negativ,0
248,UGV-2,Information geben,aber ich sehe gerade Rauchentwicklung von hier aus,2
249,UGV-2,Einsatzbefehl,soll ich mal ein Foto machen?,2
250,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1,4
251,TL,Kontakt Bestätigung,ich höre,5
252,UGV-1,Information geben,ich habe jetzt hinter dem ersten Hochofen in östlicher Richtung einen weiteren Behälter gefunden,2
253,TL,Einsatzbefehl,ja schickst du mir nochmal ein Bild?,1
254,UGV-1,Sonstiges,ja ist verstanden,7
255,UGV-1,Information geben,wir haben auch jetzt hier erhöhte Rauchentwicklung,2
256,TL,Sonstiges,ja verstanden,2
257,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
258,TL,Kontakt Bestätigung,ich höre,5
259,UAV,Information geben,ich hab dir doch noch ein Bild geschickt in Infrarot,2
260,UAV,Information geben,und zwar sind an dem Objekt - an dem Tank selber unten links ist 'ne Wärmesignatur möglicherweise oben am Tank rechte Seite und rechts des Tankes,2
261,UAV,Information geben,- an der - an dem Tank,6
262,TL,Sonstiges,ja verstanden,2
263,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
264,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
265,TL,Information nachfragen,Frage: wo ist jetzt euer Standort?,3
266,UGV-2,Information geben,wir sind noch in der Nähe von dem ersten Behälter der von UGV 1 untersucht wurde,2
267,TL,Einsatzbefehl,dann bewegt ihr euch einmal in östlicher Richtung?,3
268,UGV-2,Einsatzbefehl,dafür müsstest du mal sagen wo wir ungefähr sind,3
269,UGV-2,Information geben,weil das können wir selber klar nicht feststellen,2
270,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1,4
271,TL,Kontakt Bestätigung,ich höre,5
272,UGV-1,Information geben,ja ich bin ein bisschen näher an den gefundenen - an den zweiten gefundenen Behälter rangefahren,2
273,UGV-1,Information geben,scheint keine Flüssigkeit auszutreten und Gefahrenzettel oder andere Signaturen sind auch nicht zu sehen,2
274,UGV-1,Information geben,Si- andere Signaturen,6
275,TL,Sonstiges,ja verstanden,2
276,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
277,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
278,TL,Einsatzbefehl,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,1
279,UGV-2,Kontakt Bestätigung,ja,7
280,UGV-2,Kontakt Anfrage,Einsatzleiter von UGV 2,4
281,TL,Sonstiges,ja,5
282,UGV-2,Information geben,ja Foto ist geteilt,2
283,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1,4
284,TL,Kontakt Bestätigung,ja ich höre,5
285,UGV-1,Information geben,ja ich hab nochmal 'ne Nahaufnahme von dem Fass und 'ne Wärmesignatur von dem Fass geschickt,2
286,UGV-1,Information geben,scheint so als läge das Fass auf dem Gefahrzettel oder ähnlich,2
287,UGV-1,Zusage,ich bin drauf ich versuch das mal zu rollen,2
288,TL,Sonstiges,ja verstanden,2
289,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
290,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
291,TL,Information_nachfragen,Frage: das Bild das ich gerade bekommen hab' ist mit Blick auf zwei runden Öffnungen ist das richtig?,3
292,UGV-2,Zusage,ja das ist korrekt,7
293,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
294,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
295,TL,Einsatzbefehl,dann müsst ihr euch von da aus in östlicher Richtung bewegen,1
296,UGV-2,Kontakt Bestätigung,ja,7
297,UGV-2,Information nachfragen,wie ist da meine Blickrichtung auf dem Bild?,3
298,TL,Information geben,schwenk mal nach rechts dann müsstet ihr eigentlich in die Halle reinblicken,2
299,UGV-2,Sonstiges,ja verstanden,2
300,UAV,Kontakt Anfrage,Einsatzführer von UAV,4
301,TL,Kontakt Bestätigung,ja ich höre,5
302,UAV,Information geben,ich müsste erneut zurück wegen Akku Tausch,2
303,UAV,Information geben,möglicherweise an dem Objekt sind noch mehrere Wärmequellen ich kann's zur Zeit nicht genau sagen,2
304,TL,Einsatzbefehl,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,1
305,UAV,Zusage,so machen wir das,7
306,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1,4
307,TL,Kontakt Bestätigung,ich höre,5
308,UGV-1,Information geben,ja ich hab das Fass jetzt gedreht man kann jetzt die Signatur des Fasses erkennen Gefahrzettel,2
309,UGV-1,Einsatzbefehl,schau dir das bitte mal an beide Bilder sind geteilt,2
310,TL,Sonstiges,ja verstanden,7
311,UGV-1,Information geben,ich würde dann die Erkundung in östlicher Richtung auf dieser Ebene weiter fortsetzen,2
312,TL,Sonstiges,ja verstanden,7
313,TL,Information nachfragen,ihr setzt die Erkundung in östlicher Richtung weiter fort,7
314,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
315,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
316,TL,Information nachfragen,Frage: wo ist euer Standort inzwischen?,3
317,UGV-2,Sonstiges,immer noch nicht klar,2
318,TL,Kontakt Anfrage,UAV von Einsatzleiter,4
319,UAV,Kontakt Bestätigung,hier ist die UAV,5
320,TL,Information nachfragen,Frage: könnt ihr aus eurer Position den UGV 1 sehen?,3
321,UAV,Information geben,wir sind unterwegs und melden uns gleich nochmal,6
322,TL,Einsatzbefehl,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV eins sich momentan befindet das andere Fass zu sehen war,1
323,UAV,Sonstiges,ja ist verstanden,7
324,UGV-1,Kontakt Anfrage,UAV von UGV 1 kommen,4
325,UAV,Kontakt Bestätigung,hier ist UAV,5
326,UGV-1,Information geben,ja zur Info - ich müsste mich jetzt genau zwischen beiden Hochöfen befinden,2
327,UAV,Information nachfragen,hast du eine Ebene? auf welcher Ebene?,3
328,UGV-1,Information geben,ja auf der ersten Ebene zu den Rampen hin,2
329,UAV,Kontakt Bestätigung,ja ich sehe dich,2
330,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
331,TL,Kontakt Bestätigung,ja ich höre,5
332,UAV,Information nachfragen,ja du hattest gerade noch mal einen Auftrag kann du den mir wiederholen?,3
333,TL,Information nachfragen,ja ihr hattet doch eben zwei Fässer ausgemacht von oben könnt ihr den UGV 2 dorthin lotsen?,3
334,UAV,Absage,ja ist negativ,0
335,UAV,Information geben,das zweite war eine Wärmesignatur die ist genau in ähnlicher Position wo sich das UAV gerade befindet – das erdgebundene Fahrzeug,2
336,UAV,Kontakt Bestätigung,das U- das erdgebundene,6
337,TL,Sonstiges,ja das ist verstanden,2
338,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter,4
339,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
340,TL,Information nachfragen,wie weit seid ihr?,3
341,UGV-2,Zusage,ja ich bin jetzt wieder im Außenbereich,2
342,UGV-2,Information geben,hier liegt ein grünes Fass und es ist starke Rauchentwicklung zu erkennen,2
343,TL,Einsatzbefehl,ja schickst du mir mal ein Foto?,1
344,UGV-2,Information geben,ja Foto kommt,7
345,TL,Kontakt Anfrage,UGV 1 von Einsatzleiter,4
346,UGV-1,Kontakt Bestätigung,UGV 1 hört,5
347,TL,Einsatzbefehl,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können?,1
348,UGV-1,Zusage,ja das kann ich machen,7
349,UGV-1,Information geben,ich breche dann die Erkundung in östlicher Richtung ab,2
350,TL,Sonstiges,ja verstanden,2
351,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
352,TL,Kontakt Bestätigung,ich höre,5
353,UGV-1,Information geben,nähere mich der Rauchquelle,2
354,UAV,Information geben,ich hab dir gerade noch mal ein Bild geteilt und zwar ist genau in dem Fadenkreuz sichtbar das sind zwei Punkte die Wärme abstrahlen da müsstest du nochmal nachgucken,2
355,TL,Sonstiges,ja das ist verstanden,2
356,UAV,Information geben,da bewegt sich das erdgebundene Fahrzeug gerade darauf zu,2
357,UGV-2,Kontakt Anfrage,Einsatzleiter von UGV 2 kommen,4
358,TL,Kontakt Bestätigung,ich höre,5
359,UGV-2,Information geben,ja ich hab jetzt nochmal zwei Bilder gemacht einmal von der Rauchentwicklung und einmal von dem grünen Fass was hier liegt,2
360,TL,Sonstiges,ja verstanden,2
361,UGV-2,Information geben,und ich glaube da kommt UGV 1 auch wieder angerollt,2
362,UGV-1,Zusage,ja das ist korrekt,2
363,UAV,Kontakt Anfrage,UGV 1 von UAV 1,4
364,UGV-1,Kontakt Bestätigung,ich höre dich,5
365,UAV,Information geben,ich teile dir jetzt noch ein Bild wo du zwei Punkte siehst die Wärmesignaturen plus dich deine Position und deinen Begleiter,2
366,UGV-1,Sonstiges,ja ist verstanden,2
367,UAV,Information geben,die Wärmesignaturen sind schwarze Punkte,2
368,UGV-1,Information nachfragen,Frage: ist das schon erfolgt?,3
369,UAV,Information geben,Bild ist draußen ich hab's geteilt,7
370,UAV,Information nachfragen,kannst du die Bilder sehen? UGV?,3
371,UGV-1,Absage,nein negativ,0
372,TL,Kontakt Anfrage,UAV von Einsatzleiter,4
373,UAV,Kontakt Bestätigung,hier ist die UAV,5
374,TL,Information nachfragen,konntet ihr im Außenbereich noch weitere Fässer feststellen oder war's das einzigste?,3
375,UAV,Information geben,bisher ist das einzige,2
376,TL,Sonstiges,ja verstanden,2
377,UAV,Kontakt Anfrage,UGV 1 von UAV,4
378,UGV-1,Kontakt Bestätigung,ja,5
379,UGV-1,Information geben,ich hab die brennenden Punkte gefunden,2
380,UAV,Zusage,ja das ist schon mal gut ja,2
381,TL,Kontakt Anfrage,UGV 1 von Einsatzleiter,4
382,UGV-1,Kontakt Bestätigung,ich höre dich,5
383,TL,Information nachfragen,ja wie groß sind die brennenden Punkte oder die Brandherde was ist an Kräften erforderlich?,3
384,UGV-1,Information geben,ja die Punkte sind hier minimal ich würde sagen zirka fünf bis zehn zentimeter im Durchmesser,2
385,TL,Sonstiges,ja das ist verstanden,2
386,TL,Kontakt Anfrage,UAV von Einsatzleiter,4
387,UAV,Kontakt Bestätigung,hier ist die UAV,5
388,UAV,Information geben,wir gehen runter zur Landung Akkutausch,2
389,TL,Sonstiges,das ist verstanden,2
390,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1 kommen,4
391,TL,Kontakt Bestätigung,ich höre,5
392,UGV-1,Information geben,ja ich hab dir ein Bild und 'ne Wärmebild von den brennenden Punkten geschickt,2
393,TL,Sonstiges,ist verstanden,2
394,TL,Information geben,ich kann momentan aus technischen Gründen nur leider nichts sehen,2
395,UGV-1,Sonstiges,ja ist verstanden,2
396,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
397,TL,Kontakt Bestätigung,höre,5
398,UAV,Zusage,ja wir brauchen noch einen Augenblick,2
